"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora.Medio","Fuente","Muestra","Trabajo.Campo","Último.día","Particip","Lead","Ganador","Ventaja","BNG","CC.NCa","CpM","Cs","CUP","EC","ECP","EH.Bildu","ERC.Sobiranistes","EV","Junts","JxCat","Más.País","Més.Compromís","NA.","PACMA","PDeCAT","PNV","PP","PRC","PSC","PSdeG.PSOE","PSOE","Somos.Región","TE","Unidas.Podemos","Vox"
"1","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep28my22","1204","21–27 May 2022","2022-05-27","-","1.7","PSOE","PSOE +1.7",0.9,0.6,NA,2.5,1,NA,NA,1.3,2.6,0.4,NA,2.3,2.5,NA,0.4,NA,NA,1.4,23.3,0.2,NA,NA,25,NA,NA,12.1,22.2
"2","Generales","Madrid, Comunidad de","Mad.","-","-","Sondaxe/La Voz de Galicia","https://www.lavozdegalicia.es/noticia/galicia/2022/05/27/pp-aventaja-tres-escanos-galicia-psoe-baja-dos-elecciones-generales/00031653680068183524576.htm","1000","16–24 May 2022","2022-05-24","-","10.7","PP","PP +10.7",12.4,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,NA,NA,26.9,NA,NA,NA,NA,6.4
"3","Generales","España","Esp.","-","-","40dB/Prisa","https://elpais.com/espana/2022-05-30/el-psoe-se-recupera-pese-al-caso-pegasus-y-la-pujanza-del-pp.html","2000","18–23 May 2022","2022-05-23","-","0.8","PSOE","PSOE +0.8",NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,26.4,NA,NA,NA,27.2,NA,NA,11.5,16.2
"4","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-05-25/feijoo-apuntala-perfil-centrista-votos-psoe-ciudadanos_3430100/","1303","9–21 May 2022","2022-05-21","-","0.5","PP","PP +0.5",1.1,0.3,NA,1.9,1,NA,NA,1.2,3,0.1,NA,1.8,2.4,NA,0.3,NA,NA,1.6,26,0.2,NA,NA,25.5,NA,NA,10.6,20.3
"5","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep21my22","1876","14–19 May 2022","2022-05-19","-","0.7","PSOE","PSOE +0.7",0.9,0.6,NA,2.6,1,NA,NA,1.4,2.6,0.4,NA,2.3,2.5,NA,0.4,NA,NA,1.4,23.5,0.2,NA,NA,24.2,NA,NA,12.1,22.5
"6","Generales","Palencia","Cyl.","Palencia","-","SyM Consulting","https://twitter.com/Barometrocm/status/1530130926168047618","1126","11–16 May 2022","2022-05-16","63.6","0.1","CpM","CpM +0.1",NA,NA,30.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,13.1,NA,NA,0.4,23.6
"7","Generales","España","Esp.","-","-","SW Demoscopia","https://www.electograph.com/2022/05/encuesta-sw-demoscopia-220516.html","1203","9–14 May 2022","2022-05-14","-","3.2","PSOE","PSOE +3.2",NA,0.5,NA,2.2,0.9,NA,NA,1.2,3.8,NA,NA,1.9,3.1,NA,0.2,NA,NA,1.7,22.7,0.2,NA,NA,25.9,NA,NA,9.8,21.4
"8","Generales","España","Esp.","-","-","DYM/Henneo","https://www.20minutos.es/noticia/5002060/0/encuesta-dym-el-pp-sigue-al-alza-y-podria-alcanzar-la-moncloa-con-un-vox-estancado/","-","11–13 May 2022","2022-05-13","-","2.1","PP","PP +2.1",NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,28.4,NA,NA,NA,26.3,NA,NA,11.5,16
"9","Generales","España","Esp.","-","-","Celeste-Tel/Onda Cero","https://www.ondacero.es/noticias/espana/ganaria-elecciones-estaria-junto-vox-borde-mayoria-absoluta_20220523628b13d53fa5760001dd1fda.html","1100","9–13 May 2022","2022-05-13","-","0.6","PP","PP +0.6",0.8,0.6,NA,2.8,0.9,NA,NA,1.1,3.1,0.1,NA,2,3.3,NA,0.4,NA,NA,1.5,26.9,0.2,NA,NA,26.3,NA,NA,10.7,17.6
"10","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep14my22/","1439","6–13 May 2022","2022-05-13","-","1.8","PSOE","PSOE +1.8",0.9,0.7,NA,2.7,1,NA,NA,1.4,2.8,0.4,NA,2.3,2.4,NA,0.4,NA,NA,1.5,22.4,0.2,NA,NA,24.5,NA,NA,12.3,22.7
